0.06260, 45.14
0.08615, 68.31
0.08756, 52.39
0.08193, 78.27
0.1580, 41.83
0.2595, 47.11
0.3609, 50.68
0.4624, 45.75
0.5638, 45.58
0.6652, 45.41
0.7667, 44.90
0.8766, 45.83
0.8850, 60.39
0.8850, 76.23
0.9696, 44.21
1.071, 48.30
1.172, 50.34
1.274, 45.75
1.375, 45.75
1.477, 45.92
1.578, 44.90
1.682, 47.16
1.680, 77.25
1.680, 64.99
1.781, 44.38
1.883, 48.13
1.984, 48.47
2.085, 44.90
2.187, 44.90
2.288, 45.92
2.390, 44.72
2.485, 46.14
2.483, 75.55
2.483, 63.29
2.593, 45.41
2.694, 49.32
2.796, 48.30
2.897, 46.60
2.999, 46.43
3.100, 46.77
3.201, 45.41
3.286, 57.16
3.308, 43.74
3.286, 76.23
3.404, 46.26
3.506, 50.51
3.607, 48.30
3.709, 46.77
3.810, 46.60
3.912, 47.45
4.013, 46.26
4.108, 48.33
4.098, 78.27
4.106, 66.01
4.216, 47.11
4.317, 50.51
4.419, 49.32
4.520, 48.30
4.622, 47.11
4.723, 48.81
4.825, 46.43
4.924, 48.39
4.918, 74.18
4.918, 63.97
5.027, 47.28
5.129, 51.03
5.230, 49.49
5.332, 47.28
5.433, 47.96
5.535, 48.47
5.636, 46.60
5.739, 48.64
5.738, 67.13
5.738, 78.27
5.839, 47.45
5.940, 50.51
6.042, 49.83
6.143, 47.28
6.245, 46.26
6.346, 47.62
6.448, 46.94
6.549, 48.13
6.558, 76.57
6.558, 64.65
6.651, 46.43
6.752, 50.17
6.853, 50.00
6.955, 46.77
7.056, 46.77
7.158, 48.13
7.259, 46.26
7.361, 48.44
7.361, 78.27
7.369, 66.01
7.462, 46.26
7.564, 50.68
7.665, 50.34
7.767, 47.96
7.868, 47.62
7.969, 48.13
8.071, 47.11
8.174, 48.13
8.164, 66.01
8.172, 81.34
8.274, 47.45
8.375, 52.39
8.477, 51.71
8.578, 48.98
8.680, 49.49
8.781, 50.00
8.882, 49.15
8.971, 64.04
8.981, 47.62
8.967, 82.36
9.085, 50.68
9.187, 56.30
9.288, 53.07
9.390, 51.03
9.491, 51.03
9.593, 51.03
9.700, 50.10
9.765, 65.87
9.762, 84.40
9.812, 48.81
9.914, 52.22
10.02, 58.69
10.12, 51.71
10.22, 51.03
10.32, 51.54
10.42, 51.37
10.53, 51.82
10.56, 67.80
10.56, 82.36
10.62, 48.64
10.73, 53.07
10.83, 57.67
10.93, 51.54
11.03, 52.05
11.13, 51.54
11.23, 51.20
11.34, 50.46
11.35, 72.96
11.44, 49.15
11.54, 53.24
11.64, 55.11
11.74, 50.86
11.84, 50.51
11.94, 51.37
12.04, 50.17
12.13, 64.38
12.14, 48.35
12.13, 82.36
12.25, 49.66
12.35, 54.94
12.45, 52.22
12.55, 50.51
12.65, 50.51
12.75, 51.20
12.86, 51.71
12.92, 73.78
12.96, 51.20
12.97, 48.13
13.08, 51.20
13.18, 54.60
13.28, 50.68
13.38, 50.68
13.48, 50.86
13.58, 51.20
13.69, 51.25
13.69, 68.05
13.70, 81.34
13.79, 49.66
13.89, 52.73
13.99, 54.09
14.09, 50.34
14.19, 50.51
14.29, 51.03
14.39, 50.17
14.48, 63.12
14.50, 49.25
14.48, 81.34
14.60, 50.68
14.70, 54.77
14.80, 52.73
14.90, 50.68
15.00, 50.68
15.10, 51.37
15.21, 51.45
15.24, 64.99
15.24, 80.31
15.31, 49.32
15.41, 52.56
15.51, 55.45
15.61, 52.39
15.71, 51.54
15.81, 52.90
15.92, 50.68
16.00, 64.48
16.02, 49.66
16.00, 82.36
16.12, 50.68
16.22, 55.28
16.32, 52.90
16.42, 50.68
16.52, 50.68
16.63, 50.68
16.73, 50.94
16.77, 78.27
16.77, 68.05
16.82, 50.25
16.93, 51.71
17.03, 55.28
17.13, 51.03
17.23, 50.34
17.34, 51.20
17.44, 49.83
17.55, 51.25
17.55, 69.42
17.56, 82.36
17.64, 49.83
17.74, 53.24
17.84, 54.60
17.94, 50.68
18.05, 50.34
18.15, 51.71
18.25, 50.68
18.35, 52.52
18.35, 82.36
18.36, 70.10
18.45, 50.17
18.55, 54.77
18.66, 55.28
18.76, 51.88
18.86, 51.71
18.96, 52.39
19.06, 50.86
19.16, 52.35
19.17, 81.34
19.17, 67.37
19.26, 50.86
19.37, 55.96
19.47, 56.47
19.57, 52.22
19.67, 53.24
19.77, 52.90
19.87, 52.73
19.98, 54.32
20.00, 83.72
20.00, 71.46
20.08, 51.88
20.18, 56.82
20.28, 59.88
20.38, 55.28
20.48, 55.11
20.58, 54.60
20.68, 55.28
20.79, 56.82
20.83, 74.18
20.84, 86.44
20.88, 55.45
20.90, 51.37
21.01, 58.01
21.11, 60.90
21.21, 55.45
21.31, 55.62
21.41, 55.28
21.51, 55.79
21.62, 54.92
21.68, 70.63
21.68, 88.18
21.73, 52.87
